NAME,DESCRIPTION,Name_cluster,Desc_cluster,
ArcGIS Server,"Provide more granular and timely data regarding property risk exposure by geographic areas, allowing risk to be managed more effetively and allowing for more growth in Property lines.",,5,
ARCS - Allstate Records Center Software,"The ARCS system is designed to monitor the flow of data to, from, within the Allstate Retention Centers and to provide performance metrics. BU is Record center East, West and South.",,,
ARES - ALLSTATE REINSURANCE SYSTEM,"The Allstate Reinsurance System (ARES) captures Reinsurance business and processes premium, losses, & financial information regarding reinsurance contracts.",,,
ARM (Application Response Measurement),Enables applications to provide information to measure business transactions from an end user perspective and the contributing components of response time in distributed applications.,,,
ARPC Asset Management,Legacy web application for managing assets at ARPC.,,5,
ARPC Employee Application,"Legacy web application for managing information for new and departing employees at ARPC. Data entered through this application is used by these applications: Project Management System, Analysis Project Best Practices, Scanning Abstracts, Metadata Repository, ARPC System News, Recogntion, Asset Management, Equipment Profile, Employee Application, Phone List, Servers Applications.",,,
ARPC Equipment Profile,Legacy web application for managing equipment profiles for ARPC PCs.,,,
ARPC Metadata Repository,Legacy web application repository for basic research scanning process.,,,
ARPC Phone List,Legacy web page for managing ARPC phone list.,,,
ARPC Project Archive,Legacy web application for accessing historical project information.,,,
ARPC Project Management System,Legacy web application for managing ARPC projects.,,5,
ARPC Recognition,Legacy web application for managing recogniton awards at ARPC.,,5,
ARS - Business Objects,35 Production Universes and over 400 reports in Production,,5,
ARS 800 Number/VDN Set Up,"Telecom set up for IVR, Marketing, Operations",,5,
ARS Bank Reconciliation,Currently reverse positive pay,,,
ARS Campaign Information System - CIS (Campaign Management),Campaign Management. 600 Production ASP's.,,5,
ARS Commission,"Receives data from CMS, DMS and Manual input",,,
ARS Computer Telephony Integration (CTI),Custom application integrated with Avaya AES product used to tie voice and data and the CSR desktop.,,,
ARS Data Feeds,Load BI platform from several sources. Over 600 mappings in Production. Multiple data transmissions using customer specific transmission methods. These transmissions are primarily SFTP or PGP Encrypted FTP.,,,
ARS FINANCIAL SYSTEM INTERFACE,Used on mainframe to transmit files to corporate or Bank Rec,,,
ARS IVR Applications,23 ARS IVR Applications - Edify Integrate Voice Recognition Platform. Offers significant functionality for call decisioning and tracking. IVR also automates many calling features to reduce handle time by directing calls to a Customer Service Representative.,,,
ARS PCI Batch,Batch process that tokenizes credit card numbers.,,,
ARS WEB APP,Generic entry for ARS Web Applications,,,
ARS WEB SERVICES,"Allstate Roadside Services web services utilized by MMA, AMC. A ""generic"" entry for a group of ARS web services running on a server to allow server build process to proceed.",,,
ASDT Extract,ASDT (Agency Staff Data Tool) Extract is a Reporting Tool used by a small number of users to collate data on Agency staff by Region.,,,
ASEM - EXECUTIVE DASHBOARD V.2,View the current health of IS applications and network components.,,5,
ASEM - HUD (Application Service Event Management HUD),"This application displays active incidents by Business Unit and Application for applications configured to send alerts to ENS. The HUD displays conference calls in progress and the analyst that is running the call. Analyst availability is displayed via a data stream from Avaya. The HUD is being run in the command centers in Ohio, Ireland and Northbrook.",,,
ASEM - HUD Avaya Listener,Enables a data feed from the Avaya system to the ECC Heads Up Display. This program listens for connection requests from the Avaya Real Time Socket program running on Avaya Linux Servers. Upon receiving a connection request the program creates a new thread that reads streaming data from Avaya. The data is used to update analyst status in the CMDB. The HUD uses the data to display analyst availability.,,,
ASIS,"Alpha Search Inquiry System - Running on the Commercial CICS Onlines AZIS, ASUP and ASIS transactions",,5,
AskHR Historical Cases,"Provides means of viewing HR Call Center case and activity records as obtained from the decommissioned IBM Manila HRCC. Users of the systems are call reps, managers and HR professionals within Allstate.",,,
AskHR IVR,The application will be utilized by Employees and Agents to contact HR Call Center or Agency Commissions Call Center,,,
AskHR Text To Speech,Provides authorized business users with a UI for the entry and maintenance of emergency and contingency messages intended to be injected into the AskHR IVR flow. Populates an Oracle database which is queried by ASKHR TIBCO IVR GATEWAY.,,5,
AskHR Tibco IVR Gateway,Gateway and routing logic for the AskHR IVR application. Validates user input in the IVR though calls to enterprise services as well as utility services such as text-to-speech message look-up.,,5,
ASPECT (EWFM),"Aspect eWorkforce Management optimizes contact center workforce performance with its core functionality that accurately forecasts contact data, creates efficient agent schedules and tracks staffing. Different instances are hosted on different Business Unit Servers",,,
Assessment and Recoupment Application Service (ARAS),An Assessment/ Recoupment Tool/ Solution that reduces the time and cost to implement individual assessment/ recoupment type projects.,,,
Asset Deploy,Asset deployment application for desktop services,,,
ASSET FEEDS,The asset feeds process receives asset data from Investments and processes the data into portfolio files for use in modeling assets in Moses for the Finace Department,,,
ASSIST GT,Part of the help function for Claims Applications,,,
Assistance On The Go AOG Mini,ARS customer website: http://www.allstateroadsideservices.com/mini,,5,
Assumption Management System,"Perficient will customize their Assumption Management System to meet AF business requirements. On acquiring the customized product, the vendor will also provide AFT with the product source code for any future enhancements and maintenance.",,5,
